"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.870958338E-3,-2.582977526E-3,2.458402887E-3,4.708762281E-4,3.596837788E-3
1.192595833E-2,-8.239615709E-4,6.885612383E-4,-6.065920461E-4,1.233281460E-3
2.198095832E-2,-1.956337597E-3,4.954822361E-4,8.396571502E-5,2.019853876E-3
3.203495833E-2,4.602326080E-4,3.686807118E-3,2.259020228E-3,4.348279335E-3
4.208995833E-2,-1.656448003E-3,7.834294811E-4,7.657860406E-4,1.985953171E-3
5.214395834E-2,-1.069804654E-3,-2.265161835E-3,-1.089034369E-3,2.731562921E-3
6.219895833E-2,-2.109768800E-3,-4.606042057E-4,7.030065171E-4,2.271012723E-3
7.225395832E-2,-1.087131444E-3,-2.359819598E-3,6.794314831E-4,2.685559617E-3
8.230795834E-2,-1.258905511E-3,-1.138227992E-3,1.256272197E-3,2.111545851E-3
9.236295833E-2,-5.398825742E-4,6.256485358E-4,1.412517391E-3,1.636494627E-3
1.024179583E-1,-2.671750262E-4,-2.277730033E-3,1.949676778E-3,3.010095702E-3
1.124719583E-1,1.123211347E-3,4.891250283E-4,1.777491532E-3,2.158778166E-3
1.225269583E-1,3.155735321E-3,2.339755185E-3,2.325037494E-3,4.564966494E-3
1.325809583E-1,-1.151161268E-4,-2.114342526E-3,1.682888716E-3,2.704775493E-3
1.426359583E-1,-1.345230266E-3,-1.313263550E-3,8.301446214E-4,2.055102361E-3
1.526909583E-1,1.541953534E-3,-9.584221989E-4,-2.030632459E-4,1.826863020E-3
1.627449583E-1,1.023436897E-3,5.109235644E-6,-7.623268757E-4,1.276162784E-3
1.727999583E-1,-2.517878078E-3,-1.991881058E-3,-3.965107258E-3,5.101899228E-3
1.828539583E-1,-2.412150614E-3,-2.947422676E-3,-4.974711686E-3,6.265263552E-3
1.929089583E-1,1.509534661E-3,6.381310523E-4,-2.298003063E-3,2.822538610E-3
2.029639583E-1,-5.032820627E-4,2.279171720E-3,-1.402115682E-3,2.722837665E-3
2.130179583E-1,-2.616501413E-3,5.658688024E-4,1.988937147E-4,2.684370663E-3
2.230729583E-1,-7.560169324E-4,6.196647882E-4,4.790578969E-4,1.088596583E-3
2.331279583E-1,-6.651366130E-5,4.415161908E-3,3.132680431E-4,4.426761300E-3
2.431819583E-1,-2.427672502E-3,6.087049842E-4,1.110884827E-3,2.738280598E-3
2.532369583E-1,1.729191281E-4,1.426590607E-3,2.820696216E-3,3.165657740E-3
2.632909583E-1,4.099217709E-3,2.676412463E-3,2.749057021E-3,5.614631244E-3
2.733459583E-1,1.437251456E-3,1.886908896E-3,5.794991273E-3,6.261632438E-3
2.834009583E-1,-8.320277557E-4,-1.982131042E-3,8.039609529E-4,2.295096265E-3
2.934549583E-1,1.291497145E-3,4.720021039E-3,-1.129628625E-3,5.022213089E-3
3.035099583E-1,-7.008244283E-3,-3.079311922E-3,-9.517294820E-4,7.713847215E-3
3.135649583E-1,-3.806907916E-3,-1.604964025E-3,-1.636425732E-3,4.443686148E-3
3.236189583E-1,-3.474279307E-3,5.529951304E-4,1.838732976E-3,3.969554040E-3
3.336739583E-1,-5.142602604E-3,-9.307069704E-4,5.305185914E-4,5.253001712E-3
3.437279583E-1,-4.803582095E-3,-2.779739909E-3,2.241066657E-3,5.985293198E-3
3.537829583E-1,-1.556438860E-3,-6.628222764E-5,2.031051554E-4,1.571033724E-3
3.638379583E-1,-3.904548008E-3,1.289267093E-3,4.176541697E-3,5.860990132E-3
3.738919583E-1,-1.864815131E-3,2.427963540E-3,4.329497460E-3,5.302555109E-3
3.839469583E-1,1.722196583E-3,-7.566446438E-4,4.606998991E-3,4.976234710E-3
3.940019583E-1,6.580595393E-3,3.199379891E-3,8.950392716E-3,1.156070055E-2
4.040559583E-1,5.232769530E-3,6.539251655E-3,1.284153666E-2,1.533129978E-2
4.141109583E-1,3.817877267E-3,9.518835694E-3,2.055517212E-2,2.297171131E-2
4.241649583E-1,-1.042924356E-3,9.630689397E-3,2.946717292E-2,3.101857749E-2
4.342199583E-1,-1.421813667E-2,1.532673184E-2,3.155731037E-2,3.785403489E-2
4.442749583E-1,-3.892134875E-2,7.159615867E-3,2.970375121E-2,4.948175748E-2
4.543289583E-1,-6.854260713E-2,-2.478600480E-3,2.071345225E-2,7.164690891E-2
4.643839583E-1,-9.815349430E-2,-5.066660699E-3,1.764794346E-3,9.830002031E-2
4.744389583E-1,-1.226219311E-1,-5.424296018E-3,-1.479141600E-2,1.236298790E-1
4.844929583E-1,-1.507912427E-1,-5.295399111E-3,-2.022453025E-2,1.522336092E-1
4.945479583E-1,-1.743168980E-1,-4.600196145E-3,-1.704704389E-2,1.752088595E-1
5.046019583E-1,-1.936093718E-1,-2.333313227E-3,-1.206373703E-2,1.939988839E-1
5.146569583E-1,-2.120887041E-1,-1.583527774E-5,-1.232490875E-3,2.120922858E-1
5.247119583E-1,-2.302967608E-1,-1.327442005E-3,6.110909395E-3,2.303816472E-1
5.347659583E-1,-2.512301207E-1,-1.748465002E-3,1.141520310E-2,2.514954026E-1
5.448209583E-1,-2.772654593E-1,-5.617607385E-4,1.486372948E-2,2.776641514E-1
5.548749583E-1,-3.054959476E-1,1.119528897E-3,2.069254965E-2,3.061979898E-1
5.649299583E-1,-3.344846964E-1,-8.900919929E-4,1.905523799E-2,3.350282174E-1
