"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.421541682E-3,3.688747063E-3,-2.504704148E-2,2.486857958E-2,3.548813030E-2
1.347654167E-2,1.208279282E-3,-9.575408883E-3,7.619019132E-3,1.229625336E-2
2.353254167E-2,1.354388893E-3,-1.974921674E-3,-5.079151597E-4,2.447991564E-3
3.358854167E-2,-3.356528468E-4,-5.815559998E-4,-3.104230855E-3,3.176022578E-3
4.364354166E-2,-3.388533369E-3,4.763542674E-3,-4.046312068E-3,7.109580758E-3
5.369954169E-2,-7.735751569E-4,3.717453219E-3,-1.619905932E-3,4.128192363E-3
6.375554169E-2,-2.414467279E-3,4.138829187E-3,-1.212260686E-3,4.942583863E-3
7.381054168E-2,-6.421334110E-4,5.457893014E-3,-8.886866271E-4,5.566928722E-3
8.386654168E-2,1.968660392E-3,8.601087146E-3,1.766073983E-3,8.998518830E-3
9.392254168E-2,2.495166846E-3,5.461220630E-3,1.588440966E-3,6.210791661E-3
1.039775417E-1,4.953509197E-4,5.490317009E-3,-7.525379770E-4,5.563745753E-3
1.140335417E-1,5.206748843E-3,-1.989970915E-3,1.128985081E-3,5.687251100E-3
1.240895417E-1,-5.062017590E-5,1.036377624E-3,4.244653508E-3,4.369636642E-3
1.341455417E-1,1.794761047E-4,-1.740766689E-3,2.947960049E-3,3.428257398E-3
1.442005417E-1,-7.534539327E-4,-1.500147395E-3,3.725506365E-3,4.086261459E-3
1.542565417E-1,-3.981471062E-3,3.010500222E-5,7.044165395E-4,4.043416969E-3
1.643125417E-1,-2.007148694E-3,-3.713547252E-3,-2.420307137E-4,4.228197954E-3
1.743675417E-1,-1.738436054E-3,2.138483338E-3,-3.141147783E-3,4.178765403E-3
1.844235417E-1,1.349691302E-3,1.863338985E-3,-2.899801126E-3,3.701694929E-3
1.944798334E-1,1.499360427E-3,6.313603371E-4,-2.705390332E-3,3.156870985E-3
2.045348333E-1,1.597804017E-3,4.883535206E-3,-1.727420837E-3,5.420874149E-3
2.145908333E-1,2.206335776E-3,4.945587367E-3,-5.123483948E-3,7.454987574E-3
2.246468333E-1,-7.204781286E-4,3.586331382E-3,-1.840116689E-3,4.094739424E-3
2.347018333E-1,4.579704255E-4,1.626512036E-3,3.133155406E-4,1.718558972E-3
2.447578333E-1,-1.673092600E-3,-9.899120778E-5,-2.317451872E-4,1.691964521E-3
2.548138333E-1,-1.875226386E-3,-1.114454120E-3,2.901197411E-3,3.629797295E-3
2.648688334E-1,-3.646905068E-3,-6.633177400E-4,3.597831819E-3,5.165684930E-3
2.749248334E-1,-1.990152523E-3,-3.581076860E-3,3.108076751E-3,5.142466299E-3
2.849808334E-1,-1.403689384E-4,-4.832437262E-4,4.379749298E-4,6.671206614E-4
2.950368334E-1,8.186353371E-4,2.060075291E-3,-9.724351112E-4,2.420682561E-3
3.050918333E-1,2.194132656E-3,-1.735304482E-3,-2.178363502E-4,2.805878193E-3
3.151478333E-1,1.021809876E-3,3.524705768E-3,-1.395752421E-3,3.926292270E-3
3.252038333E-1,4.268838093E-4,5.717149004E-3,1.549001783E-3,5.938638653E-3
3.352588333E-1,1.096935943E-3,9.021865204E-3,-1.385269221E-3,9.193274228E-3
3.453148333E-1,-4.868973047E-4,8.976617828E-3,1.104282215E-3,9.057382394E-3
3.553708333E-1,-1.718342770E-3,9.720172733E-3,-1.470994670E-3,9.979894045E-3
3.654258334E-1,-2.519553527E-4,1.032575034E-2,-4.608861636E-4,1.033910139E-2
3.754818334E-1,-2.400061116E-3,7.962459698E-3,3.479160368E-4,8.323587170E-3
3.855378334E-1,-3.763478715E-3,7.697409019E-3,3.706513438E-3,9.335529953E-3
3.955928333E-1,-2.993824892E-3,7.222034037E-3,1.627117395E-3,7.985504000E-3
4.056488333E-1,-9.411107749E-4,1.639830880E-3,-1.661370741E-3,2.516920250E-3
4.157048333E-1,7.057879120E-4,2.451029606E-3,-1.621156931E-3,3.022223106E-3
4.257598333E-1,1.770060509E-3,-3.886718303E-3,-3.061192343E-3,5.254578188E-3
4.358158333E-1,2.591113560E-3,-1.292000525E-3,-9.770025499E-4,3.055759941E-3
4.458718333E-1,1.176006161E-3,8.591469377E-4,5.273601972E-3,5.471014687E-3
4.559268334E-1,2.454856411E-3,-1.253415644E-2,8.309166878E-4,1.279928983E-2
4.659828334E-1,-2.525862772E-3,1.449635345E-2,-2.047228627E-4,1.471618693E-2
4.760388334E-1,2.787122503E-4,-1.026225556E-2,3.869039938E-5,1.026611253E-2
4.860948334E-1,-1.984248403E-3,1.012528595E-2,1.513835508E-3,1.042834384E-2
4.961498333E-1,-1.116590574E-3,2.049323544E-2,3.666202538E-3,2.084851348E-2
5.062058333E-1,-2.035086975E-3,3.237985075E-2,1.288629603E-3,3.246932213E-2
5.162618333E-1,9.567076340E-4,3.284776956E-2,5.342759658E-3,3.329318752E-2
5.263168333E-1,-1.100366935E-3,3.495919332E-2,2.847583499E-3,3.509223186E-2
5.363728333E-1,1.638161950E-3,3.804846108E-2,2.178597730E-3,3.814597296E-2
5.464288333E-1,5.921034142E-3,5.049012601E-2,2.379746642E-3,5.089179368E-2
5.564838334E-1,2.004322596E-3,7.154002041E-2,4.254079424E-3,7.169441415E-2
5.665398334E-1,1.761927269E-3,8.952470124E-2,7.337115705E-3,8.984213814E-2
5.765958334E-1,-1.997575164E-4,1.113730073E-1,4.020681605E-3,1.114457381E-1
5.866508333E-1,-6.710169837E-4,1.411894113E-1,6.699684076E-3,1.413498705E-1
5.967068333E-1,-4.236092791E-4,1.834348589E-1,7.246697322E-3,1.835784343E-1
6.067628333E-1,2.083592117E-4,2.339622229E-1,5.167301744E-3,2.340193714E-1
6.168178333E-1,1.390802674E-3,2.842264771E-1,3.700166009E-3,2.842539637E-1
6.268738333E-1,1.227067783E-3,3.409714401E-1,6.725799292E-3,3.410399757E-1
6.369298333E-1,1.472610980E-3,3.950820863E-1,5.263989791E-3,3.951198971E-1
6.469858333E-1,6.192363799E-4,4.550683200E-1,3.290467430E-3,4.550806374E-1
6.570408334E-1,2.853361890E-3,5.159388781E-1,3.268096596E-3,5.159571184E-1
6.670968333E-1,1.912607811E-3,5.698894858E-1,4.370959010E-3,5.699094572E-1
6.771528333E-1,4.639152437E-3,6.243827939E-1,6.341431756E-3,6.244322292E-1
6.872078333E-1,4.159061238E-3,6.792461276E-1,8.242821321E-3,6.793088721E-1
6.972638333E-1,-2.258890308E-3,7.406048179E-1,6.666762289E-3,7.406382684E-1
7.073198333E-1,-1.885998528E-3,8.064681888E-1,8.202889934E-3,8.065121102E-1
7.173748333E-1,9.771659970E-4,8.876642585E-1,1.110094227E-2,8.877342066E-1
7.274308334E-1,2.990504727E-4,9.793826342E-1,1.325421594E-2,9.794723619E-1
7.374868334E-1,-1.843124628E-4,1.091321230E0,1.271013170E-2,1.091395258E0
7.475418333E-1,4.958091304E-4,1.219922543E0,1.360462792E-2,1.219998501E0
7.575978333E-1,3.426773474E-4,1.367014289E0,1.594634540E-2,1.367107336E0
7.676538333E-1,2.437909134E-3,1.538416147E0,1.449571736E-2,1.538486370E0
7.777088333E-1,1.576356590E-5,1.740183115E0,1.520891301E-2,1.740249576E0
7.877648333E-1,-4.135161638E-3,1.971381664E0,1.620946638E-2,1.971452640E0
7.978208333E-1,4.002014175E-4,2.217069149E0,1.388585754E-2,2.217112669E0
8.078768333E-1,5.896212533E-3,2.504340172E0,1.591768675E-2,2.504397699E0
8.179318334E-1,9.435819462E-3,2.841619253E0,1.404654980E-2,2.841669636E0
8.279878334E-1,2.033362165E-2,3.233768702E0,1.499588415E-2,3.233867398E0
8.380438334E-1,2.330917120E-2,3.691616535E0,1.518576778E-2,3.691721356E0
8.480988333E-1,2.070109174E-2,4.233378410E0,1.234593242E-2,4.233447026E0
8.581548333E-1,1.847974956E-2,4.886373997E0,9.759737179E-3,4.886418688E0
8.682108333E-1,1.730096340E-2,5.645824432E0,6.362584885E-3,5.645854526E0
8.782658333E-1,2.685079351E-2,6.522988796E0,3.847228829E-3,6.523045194E0
8.883218333E-1,4.463649541E-2,7.489378929E0,2.046310529E-2,7.489539899E0
8.983778333E-1,4.996468127E-2,8.513319969E0,3.068884462E-2,8.513521902E0
9.084328334E-1,4.591774195E-2,9.610044479E0,1.325282082E-2,9.610163317E0
9.184888334E-1,3.762412816E-2,1.076346779E1,-3.003381193E-3,1.076353397E1
9.285448334E-1,2.297509462E-2,1.202659130E1,-1.660158671E-2,1.202662470E1
9.385998333E-1,4.985707812E-3,1.358591557E1,-4.596799985E-2,1.358599425E1
9.486558333E-1,9.018164128E-3,1.516653347E1,-8.895038068E-2,1.516679699E1
9.587118333E-1,3.784875572E-1,1.667738152E1,-8.426827937E-2,1.668188863E1
