"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.333666668E-3,-9.911615252E-3,2.074124336E-2,-2.716090143E-2,3.558305579E-2
1.738866666E-2,2.244152231E-3,1.939404488E-2,-7.501973114E-3,2.091518101E-2
2.744366668E-2,1.337024331E-2,1.475427926E-2,1.438298106E-2,2.456262011E-2
3.749766666E-2,-3.926405311E-4,1.310887277E-2,-9.004127383E-3,1.590820612E-2
4.755266669E-2,2.397299945E-2,2.358883739E-2,1.096352935E-2,3.537424102E-2
5.760766668E-2,-1.099071433E-2,1.730308056E-2,3.245784841E-3,2.075397595E-2
6.766166666E-2,-2.135754903E-2,1.580736279E-2,-2.828648587E-2,3.880905696E-2
7.771666668E-2,-4.064546694E-2,2.628557324E-2,-1.231013854E-2,4.994521854E-2
8.777166667E-2,-3.446817596E-2,2.718370557E-2,-6.092794142E-3,4.431851919E-2
9.782566669E-2,-2.261703014E-2,1.835207105E-2,-2.497345805E-2,3.836668048E-2
1.078806667E-1,-1.885697812E-2,2.598678052E-2,-1.888065934E-2,3.724751915E-2
1.179356667E-1,-7.814502222E-3,2.897997022E-2,-2.239488163E-3,3.009851202E-2
1.279896667E-1,3.568564849E-3,1.730425000E-2,-1.135588209E-2,2.100304219E-2
1.380446667E-1,1.853859723E-3,1.820355177E-2,-8.995941281E-3,2.038953291E-2
1.480996667E-1,-8.190779686E-3,1.805444777E-2,-1.760011911E-3,1.990350718E-2
1.581536667E-1,-2.845664442E-2,2.374495804E-2,-1.458821833E-2,3.982988524E-2
1.682086667E-1,-2.762516578E-2,1.880698442E-2,-1.687623838E-2,3.743874824E-2
1.782636667E-1,-4.138746947E-2,2.000332475E-2,2.057050467E-3,4.601398795E-2
1.883176667E-1,-4.303785522E-2,2.464309037E-2,1.286270956E-2,5.123463850E-2
1.983726667E-1,-4.480721354E-2,1.655814528E-2,-1.630846918E-2,5.047598169E-2
2.084276667E-1,-3.920967400E-2,1.760655105E-2,-6.750025749E-3,4.350806848E-2
2.184816667E-1,-3.340718955E-2,2.478985548E-2,3.866939127E-2,5.679699877E-2
2.285366667E-1,-1.362285216E-2,1.865495682E-2,-3.278065582E-2,4.010188164E-2
2.385916667E-1,6.200387478E-3,1.491390824E-2,-5.832597613E-2,6.052097947E-2
2.486456667E-1,1.255514145E-2,1.850585282E-2,5.897033930E-2,6.306820976E-2
2.587006667E-1,1.738201797E-2,2.629142046E-2,-2.840928197E-2,4.243183522E-2
2.687556667E-1,2.540058802E-2,2.614407063E-2,-3.958447596E-2,5.381108656E-2
2.788096667E-1,-5.596379237E-3,1.641430378E-2,4.586965720E-2,4.903849794E-2
2.888646667E-1,-2.215218564E-2,2.105582356E-2,-3.883603235E-2,4.941967668E-2
2.989196667E-1,-5.153385043E-2,1.971037924E-2,-3.609778583E-2,6.593395887E-2
3.089736667E-1,-7.129099826E-2,1.911103964E-2,4.139477392E-2,8.462367031E-2
3.190286667E-1,-6.083092332E-2,2.420045614E-2,-1.706568360E-2,6.765575265E-2
3.290836667E-1,-2.416158129E-2,2.435248375E-2,-1.209554573E-2,3.637482236E-2
3.391376667E-1,-1.343690157E-3,2.914076865E-2,3.975989699E-2,4.931368278E-2
3.491926667E-1,2.416946590E-2,2.300236166E-2,1.642716765E-2,3.719036919E-2
3.592476667E-1,1.156199187E-2,2.315146565E-2,-1.735979855E-2,3.116139637E-2
3.693016667E-1,1.799763842E-3,1.956010580E-2,-9.458451471E-3,2.180135760E-2
3.793566667E-1,-1.663006604E-2,1.836493492E-2,-3.196555853E-2,4.044288396E-2
3.894116667E-1,-2.076667875E-2,1.522381067E-2,-4.753669381E-2,5.406252506E-2
3.994656667E-1,-2.937699616E-2,2.435833097E-2,-2.418993115E-2,4.518283922E-2
4.095206667E-1,-1.080302328E-2,2.286378264E-2,-2.513834953E-2,3.565661911E-2
4.195756667E-1,-3.190416276E-2,2.675978243E-2,-5.844876766E-3,4.204906827E-2
4.296296667E-1,-7.867428660E-3,2.107453465E-2,2.942786694E-2,3.704094757E-2
4.396846667E-1,-1.671308736E-2,1.823278785E-2,1.376901428E-2,2.830808358E-2
4.497396667E-1,-1.010018796E-2,2.048338115E-2,-3.716373324E-2,4.362024494E-2
4.597936667E-1,-1.157163978E-2,1.704872668E-2,-9.205037713E-2,9.432833009E-2
4.698486667E-1,-6.098353565E-3,1.526708007E-2,-1.287001401E-1,1.297459044E-1
4.799036667E-1,-2.474396397E-2,1.588337660E-2,-7.382225792E-2,7.946238840E-2
4.899576667E-1,-5.188029796E-2,1.545536041E-2,-9.176971078E-2,1.065462965E-1
5.000126667E-1,-8.421453257E-2,1.742587209E-2,-1.811186743E-1,2.004986850E-1
5.100676667E-1,-1.618822119E-1,1.324628234E-2,-2.990148227E-2,1.651526965E-1
5.201216667E-1,-1.635097843E-1,3.066864610E-3,2.054606330E-1,2.626003179E-1
5.301766667E-1,-6.232956469E-2,3.285550475E-2,-4.680637658E-2,8.458898105E-2
5.402316667E-1,-1.914027572E-2,1.433737278E-3,-8.686974406E-2,8.896492674E-2
5.502856667E-1,7.450843324E-2,4.936570287E-2,-9.296955029E-2,1.289644002E-1
5.603406667E-1,1.369996780E-1,2.127801776E-2,-1.176144131E-1,1.818098347E-1
5.703956667E-1,1.321201766E-1,3.407523394E-2,-1.524123538E-1,2.045638976E-1
5.804496667E-1,9.440826684E-2,1.081442535E-2,-1.849152714E-1,2.079026942E-1
5.905046667E-1,2.958866537E-2,4.265777707E-2,-2.175702167E-1,2.236782829E-1
6.005596667E-1,-7.110652318E-2,-5.263663530E-3,-1.830897889E-1,1.964833698E-1
6.106136667E-1,-6.966431201E-2,2.406947851E-2,-2.017727941E-1,2.148132133E-1
6.206686667E-1,-4.658008933E-2,3.008743286E-2,-2.141700790E-1,2.212324142E-1
6.307236667E-1,3.074670643E-2,6.382235885E-3,-2.458952987E-1,2.478922968E-1
6.407776667E-1,1.357720551E-1,1.690079212E-2,-2.738952573E-1,3.061671107E-1
6.508326667E-1,2.172378024E-1,7.773873210E-3,-2.829877142E-1,3.568399393E-1
6.608876667E-1,2.055626670E-1,1.599038064E-2,-2.789706588E-1,3.468952735E-1
6.709416667E-1,6.997362971E-2,2.793565750E-2,-2.731339681E-1,2.833352685E-1
6.809966667E-1,-1.377451980E-1,1.428007007E-2,-2.880058130E-1,3.195700366E-1
6.910516667E-1,-3.266596726E-1,2.414315343E-2,-3.108964928E-1,4.516038782E-1
7.011056667E-1,-4.872063804E-1,-7.116061449E-3,-3.277867234E-1,5.872519318E-1
7.111606667E-1,-5.415539110E-1,-2.586340427E-2,-3.559901834E-1,6.485973827E-1
7.212156667E-1,-4.836740774E-1,-3.117559969E-2,-3.851315733E-1,6.190628885E-1
7.312696667E-1,-3.005986324E-1,-2.687497258E-2,-4.215538430E-1,5.184490761E-1
7.413246667E-1,-3.909594566E-2,1.703469336E-2,-4.668323421E-1,4.687761826E-1
7.513796667E-1,2.537042552E-1,5.109121621E-2,-5.138614976E-1,5.753518925E-1
7.614336667E-1,4.958120200E-1,1.227389038E-2,-5.477578799E-1,7.389309186E-1
7.714886667E-1,6.133542109E-1,-1.775214672E-3,-5.892356888E-1,8.505323253E-1
7.815436667E-1,5.716933841E-1,-9.764850140E-4,-6.302690363E-1,8.509249891E-1
7.915975417E-1,3.686730865E-1,-2.480973601E-3,-6.859794798E-1,7.787771482E-1
8.016525417E-1,9.877116680E-2,-1.674642563E-3,-7.699654502E-1,7.762765888E-1
8.117075417E-1,-1.693505681E-1,-1.261185944E-2,-8.641062069E-1,8.806351178E-1
8.217625417E-1,-3.924993208E-1,-5.020887136E-2,-9.601409499E-1,1.038483168E0
8.318165417E-1,-5.347331339E-1,-8.616573930E-2,-1.057982409E0,1.188566716E0
8.418715417E-1,-5.567215884E-1,-1.126407623E-1,-1.150167199E0,1.282774904E0
8.519265417E-1,-4.635918152E-1,-1.455985934E-1,-1.258959471E0,1.349479629E0
8.619805417E-1,-2.925841463E-1,-1.504851115E-1,-1.366208808E0,1.405267860E0
8.720355417E-1,-9.781310052E-2,-1.177044511E-1,-1.483393003E0,1.491266757E0
