"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.290741666E-2,-2.980910540E-2,-6.590972347E-3,9.849925300E-2,1.031219013E-1
3.296341666E-2,-2.532487571E-2,1.710707549E-2,3.632580897E-2,4.747173642E-2
4.301941668E-2,-2.907586455E-2,3.784041598E-2,-3.980259994E-2,6.214137062E-2
5.307541668E-2,-3.656497836E-2,4.309915506E-2,-1.032793883E-1,1.177334569E-1
6.313041667E-2,-2.713692784E-2,3.510043357E-2,-1.378200424E-1,1.447854184E-1
7.318641667E-2,-3.626384676E-2,2.710262570E-2,-1.391830283E-1,1.463609725E-1
8.324241667E-2,-2.787601590E-2,-4.446844049E-3,-9.302861631E-2,9.721712882E-2
9.329741666E-2,-2.457760155E-2,-2.666923739E-2,-1.025192320E-2,3.768830920E-2
1.033534167E-1,-2.502140522E-2,-4.171151485E-2,4.771793922E-2,6.813899702E-2
1.134094167E-1,-2.127801776E-2,-3.955899945E-2,8.285151919E-2,9.424458982E-2
1.234654167E-1,-2.083012104E-2,-1.269016645E-2,8.579734644E-2,8.919707912E-2
1.335204167E-1,-2.023838282E-2,7.348858290E-3,5.206885239E-2,5.634503746E-2
1.435764167E-1,-2.324619055E-2,4.202246339E-2,-1.364508072E-2,4.992455340E-2
1.536324167E-1,-3.403021038E-2,4.941356324E-2,-9.343967557E-2,1.110438131E-1
1.636884167E-1,-3.043943524E-2,4.361527234E-2,-1.216600925E-1,1.327781206E-1
1.737434167E-1,-3.073764324E-2,4.049531684E-2,-1.388415692E-1,1.478568725E-1
1.837994167E-1,-2.369818032E-2,1.786376002E-2,-1.072958408E-1,1.113243689E-1
1.938554167E-1,-2.623645663E-2,-8.329322152E-3,-3.866763711E-2,4.746488622E-2
2.039114167E-1,-1.949754059E-2,-3.077135153E-2,2.565348923E-2,4.455481650E-2
2.139664167E-1,-1.814858794E-2,-5.031751537E-2,7.073961496E-2,8.868662088E-2
2.240224167E-1,-2.788069367E-2,-4.141947384E-2,7.011805594E-2,8.607814857E-2
2.340784167E-1,-2.698548496E-2,-1.317954642E-2,3.193924606E-2,4.384098860E-2
2.441344167E-1,-3.147790074E-2,2.240381691E-2,-1.653826475E-2,4.202741306E-2
2.541894167E-1,-2.848646522E-2,4.431018651E-2,-7.245694220E-2,8.958169345E-2
2.642454167E-1,-3.028682292E-2,6.077245573E-2,-9.134812653E-2,1.138203112E-1
2.743014167E-1,-3.238363445E-2,5.998794212E-2,-1.012223196E-1,1.220377440E-1
2.843564167E-1,-4.106324136E-2,3.381720270E-2,-6.497661749E-2,8.397472126E-2
2.944124167E-1,-2.085058630E-2,1.397233293E-3,-4.070265088E-3,2.129005091E-2
3.044684167E-1,-1.845147371E-2,-2.548586600E-2,3.081129989E-2,4.403773892E-2
3.145244167E-1,-2.443902254E-2,-4.539911165E-2,3.246430775E-2,6.092845345E-2
3.245794167E-1,-2.324151278E-2,-4.868265672E-2,7.328881826E-3,5.444154195E-2
3.346354167E-1,-2.638614535E-2,-3.174926637E-2,-3.176677147E-2,5.209004080E-2
3.446914167E-1,-1.935252964E-2,-4.358372935E-3,-5.897152701E-2,6.221862114E-2
3.547474167E-1,-2.983190954E-2,2.621172474E-2,-7.475665212E-2,8.464959761E-2
3.648024167E-1,-2.518980503E-2,4.126944708E-2,-8.079741061E-2,9.415898842E-2
3.748584167E-1,-1.965015292E-2,3.972361228E-2,-5.451709986E-2,7.025815297E-2
3.849144167E-1,-1.769952178E-2,4.291927095E-2,-1.754049579E-2,4.962868004E-2
3.949704167E-1,-3.101714015E-2,2.426992837E-2,1.085592231E-2,4.085270438E-2
4.050254167E-1,-2.981436789E-2,-7.173026120E-4,1.421865603E-2,3.303908647E-2
4.150814167E-1,-2.441914201E-2,-2.234579243E-2,1.596172929E-2,3.674786711E-2
4.251374167E-1,-2.246734142E-2,-2.623839809E-2,-7.098519802E-3,3.526505279E-2
4.351934167E-1,-2.785496593E-2,-2.324710418E-2,-2.930332124E-2,4.663701979E-2
4.452484167E-1,-3.009737313E-2,-5.522439368E-3,-7.348839104E-2,7.960460303E-2
